,features,labels
12,In my slum area the garbage collection system is not proper and the those garbage is the reason for water logging in the roads.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
13,Would request the authorities to provide more garbage bins since everyone is throughing all the garbage on the road and it is cleaned only at night. So the garbage is on the road is for the entire road. And during monsoons it\'s just on the right and spread across,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
14,"Road is narrow and huge truck ,bus ,car,auto and two wheelers pass from that road but due to bad condition of road vhecles are moving slow which create trafic  \n        So kondly please look into this and help us by rebuilding road with he help proper engineer","71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
15,Water problem in our area.,"127    Regular Water Supply
Name: title, dtype: object"
16,Plzzzz do something,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
17,The mangroves below our building which somehow are still surviving as the last patch of green are daily used as toilets for local slums and passer by pedestrians...they say they are many and there aren\'t enough Bmc toilets around so they will continue this as their BIRTH RIGHT ... And that\'s the story around @ saving our planet,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
18,Dustbins are kept on locations but not maintained properly and are located middle of the road.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
19,"When our area established before 10 years, builder also planted light poles at side of road, but yet no single light attached to it. And some poles are started falling down.","180    Maintenance/Repair Of Streetlights
Name: title, dtype: object"
20,Hello since months we have been suffering from foul odour coming out of garbage which has been there near my society it is difficult to walk on the streets with such garbage around it stinks so badly hardly you can even tolerate..so its my request to clean up it as early...even there are cows in my area but when i see them eating in that garbage in plastic bags it breaks my heart..i already lodged compalint in BMC and they said they have cleaned up but thats not the case its still there and nothing has been done properly.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
21,Plenty of  spots in seven bungalows to versova area are full of filthy n stinky garbage.Kindly do something asap.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
22,Shield and rebbies dropped at garbage platform also Datak casting employee throw garbage on platform instead of garbage box,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
23,So much garbage and less garbage storage,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
24,Highway is like a kides garden... and a new driver can never know which part of road has deep....\n\nAnd a person haveing tambaco and splits out of the public bus,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
25,"GARBAGE IS BEING DUMPED ON ALL 3 SIDES OF MY HOME FRONT, LEFT & RIGHT, NO ONE IS INTERESTED TO CLEAN/STOP IT.","44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
26,"NEW AGRIPADA , SANTACRUZ EAST WARD NO. 81 KE IDHAR EK SAGAR WINE SHOP HAI. USKE SAMKE HI LOK DARU PITE HAI . AUR WAHA PE DO MACCHI FRY WALE BAITHATE HAI . WAHA SE CHALTE WAQT O SAB AAKHA ME CHALA JATA HAI .. AUR EK IMPORTANT BAAT YE HAI KI VAHA SE LEADIES KO JANE ME BAHUT PARESHANI HOTI HAI SAB WAHA PE DARU PIYE HUYE GENTS LOK HOTE HAI .. YE AGAR AAPAKE DWARA BAND HO SAKATA HAI TO BAHOTI ACCHA HO JAYEGA\n\nTHANKS,","44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
27,I am staying in this area since last 55 years and am 86 years old and my problem is that even though Shivaji Park area is a silence zone but stray dogs keep barking whole night and one can not get sleep. I find some ladies come in their car with lots of food for the stray dogs and feed them during afternoon time. Stray Dogs enjoy food brought in the car so why they should leave this place. BMC has stopped even catching them. The nuisance is increasing day by day. Any action? I shall send the photo of the dogs next time. thanks,"93    Stray Dog Sterilisation/Animal Birth Control (...
Name: title, dtype: object"
28,"Roads are filled with pot-holes. It\'s difficult to drive a car on such roads. Driving a two-wheeler is out of question on such roads. On top of that, to make situation even worse is that vehicles are illegally parked on road side which makes it even more difficult to move around & the near by police station or traffic officials don\'t give a dam about it. But they are eager to get money by catching hold of people on two-wheeler without helmets & they turn a blind eye to such vehicles parked on road side. The complete stretch from Trombay to New Mandala is a pain to drive & the government is ignoring these problems that we face ever since. Also the roads are so dirty & filled with garbage etc. These politicians are quick to fall at our feet when they want votes but after that they just vanish into thin air & are no where to be seen. I hope these problems are resolved at the earliest","71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
29,The roads are actually missing between Kandivali to Dahisar. Please get them back.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
30,Everyone knows about the traffic issue at Dahisar Check Naka. Why are the authorities turning a blind eye to the traffic jams created because of the Toll naka. If the booth cannot be removed at least provide a solution to keep the traffic moving freely.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
31,There are lot of potholes in WEH. I reside in Borivali near National Park & daily i commute to Andheri JB Nagar. It took 1 hour+ time to travell around 16 km. The roads are really mess now a days. they are fully surrounded by Potholes. From Borivali to Andheri there might be around 1000 Potholes which ruins every biker & car owners life.\nPls Do some good work BMC......The work which this ppl does is really pathetic & the quality of material they use to build these road are of very low or you can say very cheap in quality.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
32,These holes are very dangerous and has caused many accident due to this. Location. When you drive from Gandhinagar to IIT Powai road below gandhi nagar bridge.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
33,"Thakur Ground at Thakur Village Kandivali East has become the biggest polluter of noise in Thakur Village.The ground is maintained by Thakur Group of Colleges politically very powerful in the locality.The ground is given on hire\nand throughout the day the blaring of loud speakers have made life miserable for the residents.Playing of filthy film songs,blowing of horns, trumpets and drums have become a everyday affair with the Samta Nagar Police Station and RH South Ward authorities turning a blind eye to the complaints of the residents.As if to mock at us they have now started night cricket with running commentary making even our nights miserable.\nThis in spite of the fact that it is a wholly residential area with a school within 100 mtrs of the ground.All kinds of structures have also comeup on the ground.No solution seems to be forthcoming with residents having resigned to fate.","63    Noise Pollution
Name: title, dtype: object"
34,The Entire western express highway is riddled with potholes causing traffic congestion all along the roads.. the daily commute which was 45 Mins has now increased to 1Hrs 15mins only because  of bad roads.. ( North Bound) Bandra... Santa cruz... Andheri.. Jogeshwari.. Goregaon.. Kandivali.. Borivali.. Dahisar!!,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
35,Now you no need to go to Himalaya to experience hard tough roads of leh ladakh you can get that exprience in our own western express highway,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
36,"The road from Thakur Village to highway is full of potholes. Especially the road from Hanuman Temple, and Sai Baba temple.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
37,Horrible craters in Arrey milk colony,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
38,The LBS roads from Bhandup Station to Shangrila is filled with pot holes and shops after the signal which lead to continuous traffic issues and a bad driving experience.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
39,"There is this road name as subhash road in jogeshwari east, as more holes then on moon, not just in monsoon season its the story of all waether, i never seen that raod in good condition.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
40,Worst roads near bhujale talav. request to make the roads better,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
41,Mahakali caves road is a complete mess and its in this condition since more than 1year. The garbage is all on the road. Cattles are walking on the same narrow road. Footpath has been occupied by hawkers. Pedestrians are walking on the road. Vehicle has to move very carefully and slowly. There\'s unnecessary pathetic traffic during peak times. The contractors have made some portion of road but left the other side and most part of it in complete mess. No Govt. officials are bothered about their constituency. Doesn\'t look I\'m living in an International city.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
42,Many potholes,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
43,"Jogeshwari east subhash road ,there is no road as we can see only potholes every where on subhash road ..","70    Fixing/Reparing Potholes
Name: title, dtype: object"
44,We have a 90 feet road totally occupied by tourist parking vehicles in center of the road\nonly two ways in the corner left like 20 feet for local vehicles to pass\neven all the internal roads are filled with parked vehicle from other areas & even from outside location,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
45,"Starting from Bhendi Bazaar to Metro, there are countless potholes.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
46,Horrible conditions of road in Aarey colony and in Mayur Nagar,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
47,Light Towers are erected ahead of Traffic Signals thus causing hindrance in viewing of traffic signals at Juhu Lane & Juhu Circle,"180    Maintenance/Repair Of Streetlights
Name: title, dtype: object"
48,"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
49,"To whomsoever,\n\nThis is with concerns to the numerous potholes that keep increasing day by day, putting peoples lives in danger. I have tagged my residence, outside which there are more than 10-20 hazardous potholes, which collect dirty water as well due to construction sites in the vicinity.\n\nPlease lets put an end to this stupidity of the government screwing us over year after year. Lets put those tax payments in the right place.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
50,The garbage bins at the entrance of the colony are always full people throws garbage around the bins that\'s why the entry point is becoming narrow and narrow day by day.Also there is one old scraped auto lying since years no one is looking at that.Vehicles parked by nearby service centre is also a cause to dirt.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
51,There are locals who collect plastic garbage and burns openly. it released a lot of dark smoke around with smell n make the whole area smoky and suffocate. my request is to stop these practices. this plastic can be recycled. strict action is necessary,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
52,Gatar overflow,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
53,Whenever passing by siddhivinayak temple while coming or going towards dadar station there is always conjestion of traffic. I take this route everyday and it is caused because of 3 reasons- 1. there is a petrol station at the junction where people want to pass through. 2. There are 4 lanes which are formed at the traffic light and all then have to become a single lane. 3. The biggest reason is that people want to be picked up and dropped of right at the entrance of the temple.\nBeing mumbai\'s most well-know and visited temple it surprises me that they do not have a pick up and drop point for vehicles.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
54,The entire paver blocks laid between Malwani No. 1 bus stop & Kharodi (Infant Jesus Chapel) have come out & are in shambles with holes in them & slowing down traffic to a standstill. The worst part is that there are daily about 5 accidents involving 2 & 4 wheelers as well as pedestrians. The entire stretch has to be converted to a seamless cement road immediately without delay. I feel the BMC have purposely kept the road without cementing to continue taking bribes with constant road repairs.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
55,I live in Ghatkopar East. \nR.B. Mehta road (near Vikrant Circle) & the internal road near Orbit Tower at Chedda Nagar need urgent attention.\nConcrete roads need to be made instead of the cement blocks that are used.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
56,There are many garbage in my area. So plzzzzzz help to clean this,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
57,I AM REGULER USER OF THIS FLYOVER SINCE ITS START. IT HAS TWO LINE OUT PUT TOWEREDS SV ROAD BUT AT THE JUNCTION OF FLYOVER AND RAMMANDIR ROAD DUE TO WIDE OPEN SPACE TWO LANE CONVERT TO 6 TO 8 LANE OUT PUT WITHIN 50 TO 80 MTER DRIVE. \n\nFIRST WE NEED STOP LINE STRIK SO IF ANY ONE BROKE SIGNLE THIS AREA WILL PUNISED.\n\nWE NEED THERE ROUND ABOUT OF WITH CONTROL OF TWO LANE ONLY SO ALL SIDE WILL BE CANTROL AS WELL AS TRAFIC WILL CANTROL \n\nI NEED FEW VOLIANTER FOR THIS AREA AND I CAN MAKE IT HAPPEN WITHOUT HASSITATION WITH LITTLE AWARE NESS.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
58,Dere is garbage disposed off out of my building n da issue is never resolved,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
59,There are many pot holes since  4 to 5 month. but no one is up to the pot holes. Traffic cause due to that road,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
60,Bad patches of road creates a ruckus for travelers especially bikers who can fall anytime if they go beyond 20-30 kmph on this road. Still our government has been greedy enough to collect toll for such useless roads !\n\nThe whole WEH is a misery to the people and government is just testing the patience of common people.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
61,There are 15-20 stray dogs in entire Tilak Nagar. please help by getting vaccination done.,"93    Stray Dog Sterilisation/Animal Birth Control (...
Name: title, dtype: object"
62,Bad road condition at the exit of SCLR towards Tilak Nagar railway station. Please help,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
63,"Mud with rain water gathered outside Building no 106, causing many Mosquitoes, rats and insects.. please help","44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
64,"There is no proper exit available for traffic moving north. From Fun Republic lane right turn has been closed since 6 yrs. Cars take detour and come out opp sab tv lane, and cause traffic jams to take right while disrupting link  rd traffic causing jams. But there is no alternative to going north. The behram baug road is very tiny and always in jams as a one way being used for two way traffic. \nKindly provide a solution.","113    Installation Of Traffic or Pedestrain Lights
Name: title, dtype: object"
65,"Western express highway is full poth holes starting from bandra to mira road . Driving during peak hours is like hell , our bastard and ass hole politicians, Bureaucrats , PWD officials , BMC, MMRDA Etc ..and various other agencies who are in charge of maintaining the highway are sleeping in there air conditioned offices.This corrupt bastard politicians beg for our votes and once elected they are busy making money ,, nexus of corrupt politicians and corrupt officials can be seen the way contractors bribe and make a third class roads. We are dealing with a eunuch govt. who is least bothered how people travel in this pothholes riddle roads...govt save this country from corrupt officials and corrupt politicians..","70    Fixing/Reparing Potholes
Name: title, dtype: object"
66,Lot of potholes.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
67,"We have less of road and more of potholes across our city...  due to potholes traffic is getting worsen day by day... along with that if possible we need to get tied up with SPINE replacement projects(hospitals), so that we can enhance their business.. because in couple of years we gonna have a severe spine issues anyway....  sad to see the condition of my city were tax payers like me has to suffer daily... Our governing bodies should put sign board across the city saying that \""NO SENIORS and NO PREGNANT WOMEN on road especially during rainy, for any injuries, accidents and miscarriages, the System wont be responsible, travel at your own risk\""  :(","70    Fixing/Reparing Potholes
Name: title, dtype: object"
68,I have a bike and i face the problem of potholes on road i cant specify the place on every road in mumbai ther is atleast 1 to 3 or more potholes please solve this problem of mumbaikers,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
69,Potholes,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
70,Bad road after Bad road after Bhandup pumping flyover toward Mumbai direction.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
71,Hi There are Big Pot holes at T junction on JVLR near Vikhroli which can cause a severe damage to biker if not seen pot holes are almost 0.06 inch deepand also on the railway bridge the road is pathetic causing lot of traffic in the morning and evening making it uneasy for commuters to reach office on time.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
72,Lot of potholes have been regularly spotted at the junction towards churchgate from Flora fountain and the road from Bombay Highcourt which leads to Churchgate station. They are deep and cause great damage to vehicles and make motorcyclists fall.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
73,"Dear sir/ma\'am,\n\nIts difficult to walk on dadar public bridge due No street lights on dadar public bridge ,\n\nPlease solve the same.\n\nRegards,\nUmesh lad\n9619328191","181    Installation Of New Streetlights
Name: title, dtype: object"
74,"Roads not even in level after completion of road construction in few days not more than a week road washed off , it\'s so dangerous to ride bike on these roads. We can\'t even think of riding bike in rainy days.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
75,Our BMC claims that only 32 potholes are left on mumbai road.\nthe road contractor should be given harsh punishment.\nJust after the 1st rainfall the roads are in pathetic condition. They have been washed away.\nand on the other hand our so called BMC is claiming to build the best road in mumbai. If this is the condition of the economic capital of our country I wonder which way our country is moving for development.\nHigh time make our country a better place babus. make it a heaven on earth and not hell.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
76,Potholes in main road & main market,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
77,SO MANY STRAY DOGS\nNO ONE CAN ENTER THE BUILDING LIKE COURIER BOYS ETC,"93    Stray Dog Sterilisation/Animal Birth Control (...
Name: title, dtype: object"
78,"Dear Respected ,\n\nPothole on Elphinstone bridge footpath -Mumbai unable to walk ,\n\nSome work has been done but incomplete work.\n\nRequest to you kindly Please resolve it .\n\nRegards,\nUmesh lad\n9619328191","70    Fixing/Reparing Potholes
Name: title, dtype: object"
79,"This road (Chunnabhatti Road) leading towards S.V road and Milan Subway is in pathetic condition for many months. No repair work has been carried out by local authorities. The road is filled with potholes its\', almost undriveable. This road is a very important road as it connects the arterial roads of S.V road and Linking Road to the Milan Subway. There is a lot of traffic jam on this road just beacuse of the pathetic condition of the road. This road also helps in releiving the traffic on S.V road while going towards milan subway. I request you to help repair this road as soon as possible.","71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
80,Bad road causing slow traffic on the highway. Is is so difficult to maintain road ?,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
81,There is big pothole on Nawab Tank bridge just before right turn for sandesh bld.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
82,Everyday thousands of motorists have to face the brunt of slowing down their vehicles & sometimes slipping off their motorcycles or getting a heavy bump inside their car while driving South-bound from Oberoi Mall. There is practically no road left for vehicles to go below the WEH flyover. The cops look helpless (as always). Authorities have no shame whatsoever. The contractors should be paraded naked on these roads with their faces blacked.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
83,I daily travel on S.V.Road & entire road is with so many potholes that all of us are frustrated so much....We are surprised by state government ignorance towards BJP- Shivsena led BMC who never do good work for city like Mumbai....I strongly suggest Mr.Fadnavis to visit along with us & travel with us on this roads....This is never ending story since so many years ....Why no actions are taken ????,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
84,Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
85,I want to complaint about the pathhole on Western express highway near gundawali which are very dangerous for biker as well as other vehicles,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
86,There are endless amount of potholes from vashi to sion!  And from mankhur to kurla!  Kindly resolve it as people are getting crashed due to same,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
87,"Roads are disgusting, is this why we pay taxes.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
88,In Many area in Arey the road is so damaged that its taking 2 hours during evening time which usually takes 15-20 minutes.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
89,"There are lot of potholes between above mentioned bus stops, not a small vehicle can pass smoothly by this road","70    Fixing/Reparing Potholes
Name: title, dtype: object"
90,"I see, in most of the locations, at the cross road/ junction road condition is terrible. Even when any new road build/ enhanced, that area is left as it is. This makes the traffic slow down during the 1 minute or so allowed passing time . I believe if these ares would at-least fixed, 15% of traffic jam would be reduced.","98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
91,"POTHOLES AND FAVOUR BLOCKS ON LBS ROAD NEAR KANJUR, BHANDUP AND VIKHROLI","70    Fixing/Reparing Potholes
Name: title, dtype: object"
92,You can find all day high traffic due to construction of metro and bad roads,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
93,Two street lights are not working since months they sometimes flicker for few minutes and off . Both the streetlights are adjacent so the area goes black. Please look into the matter as many ppl are affected due to this,"180    Maintenance/Repair Of Streetlights
Name: title, dtype: object"
94,An uneven sewer opening in the middle of the road . Very dangerous i almost lost control of my car when i ran over it,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
95,When u take right from oberoi mall towards borivali on highway the turn is so small that\'s it creates a huge traffic . And on top autorick n many car n bike park their vahicle which makes the turn more narrow.\nNO PARKING  on turning and on highway and incr the road size.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
96,Befr rain new road were layed on the old roads. Many ppl were happy but as soon as rain arrived the new road was washed off making roads more bad to travel. Old roads looks still strong but the new roads are creating more issue.\n\nQuality of road work is very bad n fraud n corruption in full swing. \n\nNew roads r washed out in 2 showers wht quality is this.,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
97,Just filling potholes is not important... Levelling the road is needed,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
98,"Hi the road connected to aarey colony is full of potholes its very risky, irritating and painful to drive the 5 km route including the road goes to mayur nagar is very disturb and BMC hasent repaired that road from last 4 years. Kindly help","70    Fixing/Reparing Potholes
Name: title, dtype: object"
99,"The builder has built a build on MHADA plot and hasn\'t yet given up control of the premises and is now constructing more floors on the tenant building.\nYes there is a different tenant building when the rules clearly states that the new and the old redeveloped building should be together.\nThere is constant noice and menace. The whole premises is filthy, gates blocked, parking space is taken up by construction materials.","142    Stop Unauthorised Construction
Name: title, dtype: object"
100,"The road from Sarvodaya hospital towards rifle range road is becoming pathetic day by day because of the water falling from Metro &  rain water,the road had got big potholes which leads to back pain while traveling from that road, please make a new concrete road below from where the metro passes","70    Fixing/Reparing Potholes
Name: title, dtype: object"
101,I have never seen such type of roads before.\nIts just not justified in mumbai that such a great grand city like mumbai which is our financial capital!!! Has so worst & deadly roads. Its just unbearable to drive. Its cheap\nGovernment policy.its just insane!!!,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
102,"The entire road while going from jvlr towards seepz main gate, near gate no 3,  and on opposite side while coming from seepz main gate turning towards jvlr is a mess filled with potholes","70    Fixing/Reparing Potholes
Name: title, dtype: object"
103,"Increased travel time by 30 min or more, damage to vehicle","70    Fixing/Reparing Potholes
Name: title, dtype: object"
104,Highway speed limits are marked 80. And if anybody on an empty highway tries that is dead. And secondly highways nowadays are never empty because of the potholes! Shame on the MCGM BLODDY Theives. Keeps asking for toll. Wheres the fu**ing result of those tolls?,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
105,Road was resurfaced in March 2016. Three drops of rains washed away the top layer. Mind you the old road was much better though not completely even. I\'m,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
106,Too many patholes and also dangerous..its need to get fixed as early as possible,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
107,"The road in front of NG SUNCITY phases 1,2 and 3 was repaired just before the rains in the month of June. Now after rains it has again deteriorated and become worse.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
108,Slows trafic on both sides,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
109,The road is in very bad condition and requires repair.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
110,The potholes here are so dangerous.  They\'re so deep.  The lighting is bad so makes it even worse.  The whole stretch of road under the vakola highway is bad.  Very bad,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
111,Theirs always muddy road in rainy days and waste of fruits are all over here and there throughout the year.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
112,There are many potholes along this road,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
113,There is no road on that flyover,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
114,The road towards d Mart and beyond it is totally in very bad shape. Kindly repair the road.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
115,Full road filled with potholes,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
116,"Being one of busiest national highway, western express highway road is in very bad shape especially between andheri to goregaon. Need to","70    Fixing/Reparing Potholes
Name: title, dtype: object"
117,Plz check this all road \nI am live prabhadevi and prabhadevi to grant road my job way\nSeriously road is full bad,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
118,"The road from Vijay Vihar to Powai Vihar is pathetic with lots of potholes, the road was repaired just before the monsoon and it is completely disgruntled in few months.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
119,"Dear sir,maam\nPlease construct the roads proper of mumbai.we are  tax payers..we the people of mumbai. We demand you to fix the roads of mumbai,andheri,malad and much more places. Due to potholes we face problems with our vehicle and sometimes people bang with eachother due to potholes here in mumbai. If not treated well with the roads,then i guess no use of paying tax to you govt ppl here in india,mumbai. I have seen Govt people misusing with the money og a common man. Kindly request you to look into our matters soon as possible.","70    Fixing/Reparing Potholes
Name: title, dtype: object"
120,Whole road from borivali station west upto saibaba and upto goregaon need to repair seriously otherwise it will cause many lifes,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
121,Please repair our roads,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
122,"11/10/2016\nHi Good Day\nNoor Shafi\nIssue (1) Cheeta Camp Peoples are facing lots of problems from last 37 years every 5 years our new corporator came and they make some mentainance work on road only for public city not to fix that problem permanently ok only for the publicity after 1 month some people\'s came to make new hole for new pipeline, new electrical cables, every years this was happening on that new road result ?, if the use good material to make new roads the problems will naver comes to the people\'s who are using moter cycle, Cars & Specialty auto Rickshaw if Cheeta camp\'s roads become goods and healthy it\'s will be very helpful for school bus allso for safe driving. \nIssue (2) if you see the garage area you will naver come back to Cheeta Camp in Cheeta Camp thair have 2 or 3 Garbage area is very very danger and bad smells in the middle of 15000 houses presently yesterday one 14 years girl die because of dengue plss plss before this will happen to some another child please fix this problem. Jai Hind","81    Repair Of Existing Footpaths
Name: title, dtype: object"
123,There are a lot of potholes on the western express highway.first of all it is not being maintained properly and after every other 100m there is a pothole and chances are that you would go in it no matter what,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
124,Its feels as if we\'re in some remote are of india. The road conditions are so pathetic because of the substandard work by the municipality. Who is going to pay for all the backaches?,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
125,Our so called local mla\'s and corporators from past 15 years Of BJP in power have jst come here to ask votes and do nothing. There is massive garbage mountain created in the poisar village leading to many king of deadly diseases due open defecation and lack of dustbins . Plz act on it soon as possible if having some shame being an official of the BMC and an indian citizen too.thank you,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
